release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedStateManager/java/java/java.java,writeDetached/1[java.io.ObjectOutput],org.apache.openjpa.kernel.DetachedStateManager.writeDetached/1[java.io.ObjectOutput],5,1,0,0,0,1,0,1,457,1,1,0,false
0.9.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Localizer/java/java/java.java,get/1[java.lang.String],org.apache.openjpa.lib.util.Localizer.get/1[java.lang.String],3,1,0,0,0,1,27,2,366,2,2,0,false
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Substring/java/java/java.java,setImplicitType/1[java.lang.Class],org.apache.openjpa.jdbc.kernel.exps.Substring.setImplicitType/1[java.lang.Class],2,1,0,0,0,0,0,0,440,0,0,0,false
0.9.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingCallableStatement/java/java/java.java,"setBoolean/2[java.lang.String,boolean]","org.apache.openjpa.lib.jdbc.DelegatingCallableStatement.setBoolean/2[java.lang.String,boolean]",3,1,0,0,0,0,0,0,366,0,0,0,false
0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration/java/java/java.java,getDataCacheManager/0,org.apache.openjpa.conf.OpenJPAConfiguration.getDataCacheManager/0,1,1,0,0,0,0,0,0,457,1,3,0,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/DynamicStorageGenerator/java/java/java.java,next/0,org.apache.openjpa.persistence.Generator.next/0,1,1,0,0,0,0,0,0,457,3,3,0,false
0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreQuery/java/java/java.java,"getDataStoreActions/8[org.apache.openjpa.meta.ClassMetaData,org.apache.openjpa.meta.ClassMetaData[],boolean,org.apache.openjpa.jdbc.kernel.ExpressionFactory[],org.apache.openjpa.jdbc.kernel.QueryExpressions[],java.lang.Object[],long,long]","org.apache.openjpa.jdbc.kernel.JDBCStoreQuery.getDataStoreActions/8[org.apache.openjpa.meta.ClassMetaData,org.apache.openjpa.meta.ClassMetaData[],boolean,org.apache.openjpa.jdbc.kernel.ExpressionFactory[],org.apache.openjpa.jdbc.kernel.QueryExpressions[],java.lang.Object[],long,long]",37,12,22,0,0,2,0,9,440,1,1,2,false
0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingFetchConfiguration/java/java/java.java,unlock/0,org.apache.openjpa.kernel.DelegatingFetchConfiguration.unlock/0,8,2,0,0,1,0,0,2,457,1,1,1,false
0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerFieldStrategy/java/java/java.java,"where/4[org.apache.openjpa.kernel.OpenJPAStateManager,org.apache.openjpa.jdbc.kernel.JDBCStore,org.apache.openjpa.jdbc.meta.strats.RowManager,java.lang.Object]","org.apache.openjpa.jdbc.meta.strats.HandlerFieldStrategy.where/4[org.apache.openjpa.kernel.OpenJPAStateManager,org.apache.openjpa.jdbc.kernel.JDBCStore,org.apache.openjpa.jdbc.meta.strats.RowManager,java.lang.Object]",4,2,1,0,0,0,0,2,440,0,0,0,false
0.9.0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataParser/java/java/java.java,"parseDataStoreId/2[org.apache.openjpa.meta.ClassMetaData,org.apache.openjpa.persistence.DataStoreId]","org.apache.openjpa.persistence.AnnotationPersistenceMetaDataParser.parseDataStoreId/2[org.apache.openjpa.meta.ClassMetaData,org.apache.openjpa.persistence.DataStoreId]",22,7,1,0,0,0,1,4,457,3,5,0,false
0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotContainsExpression/java/java/java.java,hasContainsExpression/0,org.apache.openjpa.jdbc.kernel.exps.NotContainsExpression.hasContainsExpression/0,3,1,0,0,0,1,0,0,440,0,0,0,false
0.9.6,openjpa-slice/src/main/java/org/apache/openjpa/slice/DistributedBrokerImpl/java/java.java,isDetachedNew/0,org.apache.openjpa.kernel.BrokerImpl.isDetachedNew/0,3,1,0,0,0,1,0,0,600,0,0,0,false
0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl/java/java/java.java,"settingBooleanField/5[org.apache.openjpa.kernel.PersistenceCapable,int,boolean,boolean,int]","org.apache.openjpa.kernel.StateManagerImpl.settingBooleanField/5[org.apache.openjpa.kernel.PersistenceCapable,int,boolean,boolean,int]",16,5,1,0,1,1,4,6,457,2,3,0,false
0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractFieldStrategy/java/java/java.java,"selectEagerJoin/5[org.apache.openjpa.jdbc.sql.Select,org.apache.openjpa.kernel.OpenJPAStateManager,org.apache.openjpa.jdbc.kernel.JDBCStore,org.apache.openjpa.jdbc.kernel.JDBCFetchConfiguration,int]","org.apache.openjpa.jdbc.meta.strats.AbstractFieldStrategy.selectEagerJoin/5[org.apache.openjpa.jdbc.sql.Select,org.apache.openjpa.kernel.OpenJPAStateManager,org.apache.openjpa.jdbc.kernel.JDBCStore,org.apache.openjpa.jdbc.kernel.JDBCFetchConfiguration,int]",2,1,0,0,0,0,0,0,440,0,0,0,false
0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/InMemoryExpressionFactory/java/java/java.java,"order/4[org.apache.openjpa.kernel.exps.QueryExpressions,java.util.List,org.apache.openjpa.kernel.exps.StoreContext,java.lang.Object[]]","org.apache.openjpa.kernel.exps.InMemoryExpressionFactory.order/4[org.apache.openjpa.kernel.exps.QueryExpressions,java.util.List,org.apache.openjpa.kernel.exps.StoreContext,java.lang.Object[]]",3,1,0,0,0,1,1,1,457,0,0,0,false
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsNotEmptyExpression/java/java/java.java,IsNotEmptyExpression/1[org.apache.openjpa.jdbc.kernel.exps.Val],org.apache.openjpa.jdbc.kernel.exps.IsNotEmptyExpression.IsNotEmptyExpression/1[org.apache.openjpa.jdbc.kernel.exps.Val],3,1,1,0,0,0,1,0,440,0,0,0,false
0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration/java/java/java.java,setIgnoreChanges/1[boolean],org.apache.openjpa.conf.OpenJPAConfiguration.setIgnoreChanges/1[boolean],1,1,0,0,0,0,0,0,457,1,3,0,false
0.9.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/AbstractResultList/java/java/java.java,"getBytesInternal/2[java.lang.Object,org.apache.openjpa.jdbc.sql.Joins]","org.apache.openjpa.jdbc.sql.AbstractResult.getBytesInternal/2[java.lang.Object,org.apache.openjpa.jdbc.sql.Joins]",3,1,0,0,0,1,2,2,366,0,0,0,false
0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCDataGenerator/java/java/java.java,addNewEmbedded/1[org.apache.openjpa.enhance.BCClass],org.apache.openjpa.enhance.PCDataGenerator.addNewEmbedded/1[org.apache.openjpa.enhance.BCClass],14,1,2,0,0,0,1,0,457,0,0,12,false
0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SelectConstructor/java/java/java.java,"setRange/2[long,long]","org.apache.openjpa.jdbc.sql.Select.setRange/2[long,long]",1,1,0,0,0,0,4,0,440,0,0,0,false
